uuid,f_address,Match_addr,Longitude,Latitude,Addr_type,Score,Status,Region,RegionAbbr,Subregion,MetroArea,City,Nbrhd,geometry,Match_type,LongLabel,ShortLabel,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,District,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo
146,"Irvine, CA","Irvine, California",-117.82590999999996,33.68730000000005,Locality,100.0,M,California,CA,Orange County,Los Angeles Metro Area,Irvine,,POINT (-117.82591 33.68730000000005),A,"Irvine, CA, USA",Irvine,City,Irvine,"Irvine, California",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-117.82590999999996,33.68730000000005,-117.91690999999996,-117.73490999999997,33.59630000000005,33.77830000000005,
147,"San Ramon, CA","San Ramon, California",-121.96900999999997,37.779450000000054,Locality,100.0,T,California,CA,Contra Costa County,San Francisco Bay Area,San Ramon,,POINT (-121.96901 37.77945000000005),A,"San Ramon, CA, USA",San Ramon,City,San Ramon,"San Ramon, California",,,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.96900999999997,37.779450000000054,-122.01800999999998,-121.92000999999996,37.730450000000054,37.82845000000005,
148,"Pleasanton, CA","Pleasanton, California",-121.87710999999996,37.65822000000003,Locality,100.0,M,California,CA,Alameda County,San Francisco Bay Area,Pleasanton,,POINT (-121.87711 37.65822000000003),A,"Pleasanton, CA, USA",Pleasanton,City,Pleasanton,"Pleasanton, California",,,8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.87710999999996,37.65822000000003,-121.93810999999997,-121.81610999999995,37.59722000000003,37.71922000000003,
149,"Santa Clarita, CA","Santa Clarita, California",-118.55120999999997,34.41387000000003,Locality,100.0,M,California,CA,Los Angeles County,Los Angeles Metro Area,Santa Clarita,,POINT (-118.55121 34.41387000000003),A,"Santa Clarita, CA, USA",Santa Clarita,City,Santa Clarita,"Santa Clarita, California",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-118.55120999999997,34.41387000000003,-118.64420999999997,-118.45820999999997,34.32087000000003,34.506870000000035,
150,"Milpitas, CA","Milpitas, California",-121.89712999999995,37.432830000000024,Locality,100.0,T,California,CA,Santa Clara County,San Francisco Bay Area,Milpitas,,POINT (-121.8971299999999 37.43283000000002),A,"Milpitas, CA, USA",Milpitas,City,Milpitas,"Milpitas, California",,,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.89712999999995,37.432830000000024,-121.93912999999995,-121.85512999999995,37.39083000000002,37.474830000000026,
151,"Los ANgeles, CA","Los Angeles, California",-118.24549999999999,34.05361000000005,Locality,100.0,T,California,CA,Los Angeles County,Los Angeles Metro Area,Los Angeles,,POINT (-118.2455 34.05361000000005),A,"Los Angeles, CA, USA",Los Angeles,City,Los Angeles,"Los Angeles, California",,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-118.24549999999999,34.05361000000005,-118.5325,-117.95849999999999,33.76661000000005,34.34061000000005,
152,"Campbell, CA","Campbell, California",-121.94485999999995,37.28848000000005,Locality,100.0,T,California,CA,Santa Clara County,San Francisco Bay Area,Campbell,,POINT (-121.9448599999999 37.28848000000005),A,"Campbell, CA, USA",Campbell,City,Campbell,"Campbell, California",,,8.76,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.94485999999995,37.28848000000005,-121.97585999999995,-121.91385999999994,37.25748000000005,37.31948000000005,
153,"San Jose, CA","San Jose, California",-121.88541999999995,37.33865000000003,Locality,100.0,T,California,CA,Santa Clara County,San Francisco Bay Area,San Jose,,POINT (-121.88542 37.33865000000003),A,"San Jose, CA, USA",San Jose,City,San Jose,"San Jose, California",,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.88541999999995,37.33865000000003,-122.09041999999995,-121.68041999999996,37.13365000000003,37.54365000000003,
154,"Rsm, CA","California Ter, Mission Viejo, California, 92692",-117.6372434016365,33.658238424167244,StreetName,83.22,T,California,CA,Orange County,Los Angeles Metro Area,Mission Viejo,,POINT (-117.637243402 33.65823842400005),A,"California Ter, Mission Viejo, CA, 92692, USA",California Ter,,,"California Ter, Mission Viejo, California, 92692",,,20.0,,,,,,,,,California,Ter,,,,,,,,,California Ter,,,,,,92692,,USA,ENG,0.0,-117.6372434016365,33.658238424167244,-117.6382434016365,-117.63624340163649,33.65723842416725,33.65923842416724,
155,"Fremont, CA","Fremont, California",-121.98304999999999,37.55135000000007,Locality,100.0,T,California,CA,Alameda County,San Francisco Bay Area,Fremont,,POINT (-121.98305 37.55135000000007),A,"Fremont, CA, USA",Fremont,City,Fremont,"Fremont, California",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.98304999999999,37.55135000000007,-122.08604999999999,-121.88005,37.44835000000007,37.65435000000007,
156,"Dublin, CA","Dublin, California",-121.91634999999997,37.70423000000005,Locality,100.0,M,California,CA,Alameda County,San Francisco Bay Area,Dublin,,POINT (-121.91635 37.70423000000005),A,"Dublin, CA, USA",Dublin,City,Dublin,"Dublin, California",,,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.91634999999997,37.70423000000005,-121.96834999999997,-121.86434999999996,37.65223000000005,37.75623000000005,
157,"SIMI VALLEY, CA","Simi Valley, California",-118.71765999999997,34.289460000000076,Locality,100.0,M,California,CA,Ventura County,Los Angeles Metro Area,Simi Valley,,POINT (-118.71766 34.28946000000008),A,"Simi Valley, CA, USA",Simi Valley,City,Simi Valley,"Simi Valley, California",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-118.71765999999997,34.289460000000076,-118.79465999999996,-118.64065999999997,34.21246000000008,34.366460000000075,
158,"Milpitas, CA","Milpitas, California",-121.89712999999995,37.432830000000024,Locality,100.0,T,California,CA,Santa Clara County,San Francisco Bay Area,Milpitas,,POINT (-121.8971299999999 37.43283000000002),A,"Milpitas, CA, USA",Milpitas,City,Milpitas,"Milpitas, California",,,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.89712999999995,37.432830000000024,-121.93912999999995,-121.85512999999995,37.39083000000002,37.474830000000026,
159,"Santa Clara, CA","Santa Clara, California",-121.95508999999998,37.35579000000007,Locality,100.0,T,California,CA,Santa Clara County,San Francisco Bay Area,Santa Clara,,POINT (-121.95509 37.35579000000007),A,"Santa Clara, CA, USA",Santa Clara,City,Santa Clara,"Santa Clara, California",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.95508999999998,37.35579000000007,-121.99808999999999,-121.91208999999998,37.31279000000007,37.39879000000007,
160,"FREMONT, CA","Fremont, California",-121.98304999999999,37.55135000000007,Locality,100.0,T,California,CA,Alameda County,San Francisco Bay Area,Fremont,,POINT (-121.98305 37.55135000000007),A,"Fremont, CA, USA",Fremont,City,Fremont,"Fremont, California",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.98304999999999,37.55135000000007,-122.08604999999999,-121.88005,37.44835000000007,37.65435000000007,
161,"Los Angeles, CA","Los Angeles, California",-118.24549999999999,34.05361000000005,Locality,100.0,T,California,CA,Los Angeles County,Los Angeles Metro Area,Los Angeles,,POINT (-118.2455 34.05361000000005),A,"Los Angeles, CA, USA",Los Angeles,City,Los Angeles,"Los Angeles, California",,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-118.24549999999999,34.05361000000005,-118.5325,-117.95849999999999,33.76661000000005,34.34061000000005,
162,"Folsom, CA","Folsom, California",-121.16282999999999,38.68175000000008,Locality,100.0,M,California,CA,Sacramento County,Sacramento Metro Area,Folsom,,POINT (-121.16283 38.68175000000008),A,"Folsom, CA, USA",Folsom,City,Folsom,"Folsom, California",,,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.16282999999999,38.68175000000008,-121.22182999999998,-121.10382999999999,38.62275000000008,38.74075000000008,
163,"Fremont, CA","Fremont, California",-121.98304999999999,37.55135000000007,Locality,100.0,T,California,CA,Alameda County,San Francisco Bay Area,Fremont,,POINT (-121.98305 37.55135000000007),A,"Fremont, CA, USA",Fremont,City,Fremont,"Fremont, California",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.98304999999999,37.55135000000007,-122.08604999999999,-121.88005,37.44835000000007,37.65435000000007,
164,"San Jose, CA","San Jose, California",-121.88541999999995,37.33865000000003,Locality,100.0,T,California,CA,Santa Clara County,San Francisco Bay Area,San Jose,,POINT (-121.88542 37.33865000000003),A,"San Jose, CA, USA",San Jose,City,San Jose,"San Jose, California",,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.88541999999995,37.33865000000003,-122.09041999999995,-121.68041999999996,37.13365000000003,37.54365000000003,
165,"La palma, CA","La Palma, California",-118.03726999999998,33.84847000000008,Locality,100.0,M,California,CA,Orange County,Los Angeles Metro Area,La Palma,,POINT (-118.03727 33.84847000000008),A,"La Palma, CA, USA",La Palma,City,La Palma,"La Palma, California",,,11.23,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-118.03726999999998,33.84847000000008,-118.05326999999998,-118.02126999999997,33.83247000000008,33.864470000000075,
166,"La palma, CA","La Palma, California",-118.03726999999998,33.84847000000008,Locality,100.0,M,California,CA,Orange County,Los Angeles Metro Area,La Palma,,POINT (-118.03727 33.84847000000008),A,"La Palma, CA, USA",La Palma,City,La Palma,"La Palma, California",,,11.23,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-118.03726999999998,33.84847000000008,-118.05326999999998,-118.02126999999997,33.83247000000008,33.864470000000075,
167,"San Mateo, CA","San Mateo, California",-122.31484999999998,37.54704000000004,Locality,100.0,T,California,CA,San Mateo County,San Francisco Bay Area,San Mateo,,POINT (-122.31485 37.54704000000004),A,"San Mateo, CA, USA",San Mateo,City,San Mateo,"San Mateo, California",,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-122.31484999999998,37.54704000000004,-122.35484999999998,-122.27484999999997,37.50704000000004,37.58704000000004,
168,"Fremont, CA","Fremont, California",-121.98304999999999,37.55135000000007,Locality,100.0,T,California,CA,Alameda County,San Francisco Bay Area,Fremont,,POINT (-121.98305 37.55135000000007),A,"Fremont, CA, USA",Fremont,City,Fremont,"Fremont, California",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-121.98304999999999,37.55135000000007,-122.08604999999999,-121.88005,37.44835000000007,37.65435000000007,
169,"Highlands Ranch, CO","Highlands Ranch, Colorado",-104.99728999999996,39.54799000000003,Locality,100.0,M,Colorado,CO,Douglas County,Denver Metro Area,,,POINT (-104.99729 39.54799000000003),A,"Highlands Ranch, CO, USA",Highlands Ranch,Zone,Highlands Ranch,Colorado,,,8.05,,,,,,,,,,,,,,,,,,,,,,,,Highlands Ranch,,,USA,ENG,0.0,-104.99728999999996,39.54799000000003,-105.00728999999997,-104.98728999999996,39.53799000000003,39.557990000000025,
170,"Highland ranch, CO","Highland Ranch Pt, Calhan, Colorado, 80808",-104.30050802011633,38.91476609521738,StreetName,97.35,M,Colorado,CO,El Paso County,,Calhan,,POINT (-104.3005080199999 38.91476609500006),A,"Highland Ranch Pt, Calhan, CO, 80808, USA",Highland Ranch Pt,,,"Highland Ranch Pt, Calhan, Colorado, 80808",,,20.0,,,,,,,,,Highland Ranch,Pt,,,,,,,,,Highland Ranch Pt,,,,,,80808,,USA,ENG,0.0,-104.30050802011633,38.91476609521738,-104.30150802011633,-104.29950802011632,38.91376609521738,38.91576609521738,
171,"Highlands Ranch, CO","Highlands Ranch, Colorado",-104.99728999999996,39.54799000000003,Locality,100.0,M,Colorado,CO,Douglas County,Denver Metro Area,,,POINT (-104.99729 39.54799000000003),A,"Highlands Ranch, CO, USA",Highlands Ranch,Zone,Highlands Ranch,Colorado,,,8.05,,,,,,,,,,,,,,,,,,,,,,,,Highlands Ranch,,,USA,ENG,0.0,-104.99728999999996,39.54799000000003,-105.00728999999997,-104.98728999999996,39.53799000000003,39.557990000000025,
172,"Avon, CT","Avon, Connecticut",-72.82964999999996,41.810880000000054,Locality,100.0,T,Connecticut,CT,Hartford County,,Avon,,POINT (-72.82964999999996 41.81088000000005),A,"Avon, CT, USA",Avon,City,Avon,"Avon, Connecticut",,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-72.82964999999996,41.810880000000054,-72.83964999999996,-72.81964999999995,41.800880000000056,41.82088000000005,
173,"Stamford, CT","Stamford, Connecticut",-73.54221999999999,41.05195000000003,Locality,100.0,M,Connecticut,CT,Fairfield County,New York City Metro,Stamford,,POINT (-73.54221999999999 41.05195000000003),A,"Stamford, CT, USA",Stamford,City,Stamford,"Stamford, Connecticut",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-73.54221999999999,41.05195000000003,-73.63621999999998,-73.44821999999999,40.95795000000003,41.145950000000035,
174,"Ellington, CT","Ellington, Connecticut",-72.46908999999994,41.90438000000006,Locality,100.0,M,Connecticut,CT,Tolland County,,Ellington,,POINT (-72.46908999999994 41.90438000000006),A,"Ellington, CT, USA",Ellington,City,Ellington,"Ellington, Connecticut",,,11.23,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-72.46908999999994,41.90438000000006,-72.47908999999994,-72.45908999999993,41.89438000000006,41.91438000000006,
175,"Washington, DC","Washington, District of Columbia",-77.03195999999997,38.890370000000075,Locality,100.0,T,District of Columbia,DC,District of Columbia,Washington DC Metro Area,Washington,,POINT (-77.03195999999997 38.89037000000008),A,"Washington, DC, USA",Washington,City,Washington,"Washington, District of Columbia",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-77.03195999999997,38.890370000000075,-77.13595999999997,-76.92795999999997,38.786370000000076,38.994370000000075,
176,"Washington Dc, DC","Washington, District of Columbia",-77.03195999999997,38.890370000000075,Locality,100.0,T,District of Columbia,DC,District of Columbia,Washington DC Metro Area,Washington,,POINT (-77.03195999999997 38.89037000000008),A,"Washington, DC, USA",Washington,City,Washington,"Washington, District of Columbia",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-77.03195999999997,38.890370000000075,-77.13595999999997,-76.92795999999997,38.786370000000076,38.994370000000075,
177,"Newark, DE","Newark, Delaware",-75.76161999999994,39.67819000000003,Locality,100.0,M,Delaware,DE,New Castle County,Philadelphia Metro Area,Newark,,POINT (-75.76161999999994 39.67819000000003),A,"Newark, DE, USA",Newark,City,Newark,"Newark, Delaware",,,8.86,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-75.76161999999994,39.67819000000003,-75.79561999999994,-75.72761999999993,39.64419000000003,39.71219000000003,
178,"Port Orange, FL","Port Orange, Florida",-81.01993999999996,29.126190000000065,Locality,100.0,M,Florida,FL,Volusia County,,Port Orange,,POINT (-81.01993999999996 29.12619000000007),A,"Port Orange, FL, USA",Port Orange,City,Port Orange,"Port Orange, Florida",,,8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-81.01993999999996,29.126190000000065,-81.07693999999996,-80.96293999999996,29.069190000000066,29.183190000000064,
179,"Tallahassee, FL","Tallahassee, Florida",-84.28064999999998,30.439770000000067,Locality,100.0,M,Florida,FL,Leon County,,Tallahassee,,POINT (-84.28064999999998 30.43977000000007),A,"Tallahassee, FL, USA",Tallahassee,City,Tallahassee,"Tallahassee, Florida",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-84.28064999999998,30.439770000000067,-84.40264999999998,-84.15864999999998,30.317770000000067,30.561770000000067,
180,"Winter Park, FL","Winter Park, Florida",-81.35070999999994,28.594570000000033,Locality,100.0,T,Florida,FL,Orange County,Orlando Metro Area,Winter Park,,POINT (-81.35070999999994 28.59457000000003),A,"Winter Park, FL, USA",Winter Park,City,Winter Park,"Winter Park, Florida",,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-81.35070999999994,28.594570000000033,-81.38570999999993,-81.31570999999994,28.559570000000033,28.629570000000033,
181,"Sanford, FL","Sanford, Florida",-81.26803999999998,28.81397000000004,Locality,100.0,M,Florida,FL,Seminole County,Orlando Metro Area,Sanford,,POINT (-81.26803999999998 28.81397000000004),A,"Sanford, FL, USA",Sanford,City,Sanford,"Sanford, Florida",,,8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-81.26803999999998,28.81397000000004,-81.32803999999999,-81.20803999999998,28.75397000000004,28.87397000000004,
182,"Dunedin, FL","Dunedin, Florida",-82.78458999999998,28.013450000000034,Locality,100.0,M,Florida,FL,Pinellas County,Tampa Metro Area,Dunedin,,POINT (-82.78458999999998 28.01345000000003),A,"Dunedin, FL, USA",Dunedin,City,Dunedin,"Dunedin, Florida",,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-82.78458999999998,28.013450000000034,-82.83558999999998,-82.73358999999998,27.962450000000036,28.064450000000033,
183,"Tampa, FL","Tampa, Florida",-82.45926999999995,27.946530000000052,Locality,100.0,M,Florida,FL,Hillsborough County,Tampa Metro Area,Tampa,,POINT (-82.45926999999995 27.94653000000005),A,"Tampa, FL, USA",Tampa,City,Tampa,"Tampa, Florida",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-82.45926999999995,27.946530000000052,-82.64626999999994,-82.27226999999995,27.75953000000005,28.133530000000054,
184,"Stuart, FL","Stuart, Florida",-80.25579999999997,27.200320000000033,Locality,100.0,M,Florida,FL,Martin County,,Stuart,,POINT (-80.25579999999997 27.20032000000003),A,"Stuart, FL, USA",Stuart,City,Stuart,"Stuart, Florida",,,11.21,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-80.25579999999997,27.200320000000033,-80.29379999999996,-80.21779999999997,27.162320000000033,27.238320000000034,
185,"Jacksonville, FL","Jacksonville, Florida",-81.65621999999996,30.331470000000024,Locality,100.0,M,Florida,FL,Duval County,,Jacksonville,,POINT (-81.65621999999996 30.33147000000002),A,"Jacksonville, FL, USA",Jacksonville,City,Jacksonville,"Jacksonville, Florida",,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-81.65621999999996,30.331470000000024,-81.94221999999996,-81.37021999999996,30.045470000000023,30.617470000000026,
186,"Tampa, FL","Tampa, Florida",-82.45926999999995,27.946530000000052,Locality,100.0,M,Florida,FL,Hillsborough County,Tampa Metro Area,Tampa,,POINT (-82.45926999999995 27.94653000000005),A,"Tampa, FL, USA",Tampa,City,Tampa,"Tampa, Florida",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-82.45926999999995,27.946530000000052,-82.64626999999994,-82.27226999999995,27.75953000000005,28.133530000000054,
187,"St Petersburg, FL","St Petersburg, Florida",-82.63875999999993,27.771190000000047,Locality,100.0,T,Florida,FL,Pinellas County,Tampa Metro Area,St Petersburg,,POINT (-82.63875999999993 27.77119000000005),A,"St Petersburg, FL, USA",St Petersburg,City,St Petersburg,"St Petersburg, Florida",,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-82.63875999999993,27.771190000000047,-82.76375999999993,-82.51375999999993,27.646190000000047,27.896190000000047,
188,"Jacksonville, FL","Jacksonville, Florida",-81.65621999999996,30.331470000000024,Locality,100.0,M,Florida,FL,Duval County,,Jacksonville,,POINT (-81.65621999999996 30.33147000000002),A,"Jacksonville, FL, USA",Jacksonville,City,Jacksonville,"Jacksonville, Florida",,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-81.65621999999996,30.331470000000024,-81.94221999999996,-81.37021999999996,30.045470000000023,30.617470000000026,
189,"Tampa, FL","Tampa, Florida",-82.45926999999995,27.946530000000052,Locality,100.0,M,Florida,FL,Hillsborough County,Tampa Metro Area,Tampa,,POINT (-82.45926999999995 27.94653000000005),A,"Tampa, FL, USA",Tampa,City,Tampa,"Tampa, Florida",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-82.45926999999995,27.946530000000052,-82.64626999999994,-82.27226999999995,27.75953000000005,28.133530000000054,
190,"TAMPA, FL","Tampa, Florida",-82.45926999999995,27.946530000000052,Locality,100.0,M,Florida,FL,Hillsborough County,Tampa Metro Area,Tampa,,POINT (-82.45926999999995 27.94653000000005),A,"Tampa, FL, USA",Tampa,City,Tampa,"Tampa, Florida",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-82.45926999999995,27.946530000000052,-82.64626999999994,-82.27226999999995,27.75953000000005,28.133530000000054,
191,"Tampa, FL","Tampa, Florida",-82.45926999999995,27.946530000000052,Locality,100.0,M,Florida,FL,Hillsborough County,Tampa Metro Area,Tampa,,POINT (-82.45926999999995 27.94653000000005),A,"Tampa, FL, USA",Tampa,City,Tampa,"Tampa, Florida",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-82.45926999999995,27.946530000000052,-82.64626999999994,-82.27226999999995,27.75953000000005,28.133530000000054,
192,"Dunedin, FL","Dunedin, Florida",-82.78458999999998,28.013450000000034,Locality,100.0,M,Florida,FL,Pinellas County,Tampa Metro Area,Dunedin,,POINT (-82.78458999999998 28.01345000000003),A,"Dunedin, FL, USA",Dunedin,City,Dunedin,"Dunedin, Florida",,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-82.78458999999998,28.013450000000034,-82.83558999999998,-82.73358999999998,27.962450000000036,28.064450000000033,
193,"Doral, FL","Doral, Florida",-80.33197999999999,25.821470000000033,Locality,100.0,M,Florida,FL,Miami-Dade County,Miami-Fort Lauderdale Metro Area,Doral,,POINT (-80.33197999999999 25.82147000000003),A,"Doral, FL, USA",Doral,City,Doral,"Doral, Florida",,,8.68,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-80.33197999999999,25.821470000000033,-80.36697999999998,-80.29697999999999,25.786470000000033,25.856470000000034,
194,"West Palm Beach, FL","West Palm Beach, Florida",-80.05328999999995,26.71440000000007,Locality,100.0,M,Florida,FL,Palm Beach County,Miami-Fort Lauderdale Metro Area,West Palm Beach,,POINT (-80.05328999999995 26.71440000000007),A,"West Palm Beach, FL, USA",West Palm Beach,City,West Palm Beach,"West Palm Beach, Florida",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-80.05328999999995,26.71440000000007,-80.14528999999995,-79.96128999999995,26.62240000000007,26.806400000000068,
195,"Windermere, FL","Windermere, Florida",-81.53533999999996,28.49559000000005,Locality,100.0,T,Florida,FL,Orange County,Orlando Metro Area,Windermere,,POINT (-81.53533999999996 28.49559000000005),A,"Windermere, FL, USA",Windermere,City,Windermere,"Windermere, Florida",,,11.92,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-81.53533999999996,28.49559000000005,-81.55533999999996,-81.51533999999997,28.47559000000005,28.51559000000005,
196,"PLANTATION, FL","Plantation, Florida",-80.24515999999994,26.128150000000062,Locality,100.0,T,Florida,FL,Broward County,Miami-Fort Lauderdale Metro Area,Plantation,,POINT (-80.24515999999994 26.12815000000006),A,"Plantation, FL, USA",Plantation,City,Plantation,"Plantation, Florida",,,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-80.24515999999994,26.128150000000062,-80.29515999999994,-80.19515999999994,26.07815000000006,26.178150000000063,
197,"Coral Gables, FL","Coral Gables, Florida",-80.26294999999999,25.74923000000007,Locality,100.0,M,Florida,FL,Miami-Dade County,Miami-Fort Lauderdale Metro Area,Coral Gables,,POINT (-80.26294999999999 25.74923000000007),A,"Coral Gables, FL, USA",Coral Gables,City,Coral Gables,"Coral Gables, Florida",,,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-80.26294999999999,25.74923000000007,-80.31294999999999,-80.21294999999999,25.699230000000068,25.79923000000007,
198,"Orlando, FL","Orlando, Florida",-81.37738999999993,28.538230000000055,Locality,100.0,M,Florida,FL,Orange County,Orlando Metro Area,Orlando,,POINT (-81.37738999999993 28.53823000000006),A,"Orlando, FL, USA",Orlando,City,Orlando,"Orlando, Florida",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-81.37738999999993,28.538230000000055,-81.51438999999993,-81.24038999999993,28.401230000000055,28.675230000000056,
199,"Orlando, FL","Orlando, Florida",-81.37738999999993,28.538230000000055,Locality,100.0,M,Florida,FL,Orange County,Orlando Metro Area,Orlando,,POINT (-81.37738999999993 28.53823000000006),A,"Orlando, FL, USA",Orlando,City,Orlando,"Orlando, Florida",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-81.37738999999993,28.538230000000055,-81.51438999999993,-81.24038999999993,28.401230000000055,28.675230000000056,
200,"LAKELAND, FL, FL","S Florida Ave, Lakeland, Florida, 33813",-81.9740205,27.93921375129279,StreetName,97.56,T,Florida,FL,Polk County,,Lakeland,,POINT (-81.97402049999994 27.93921375100007),A,"S Florida Ave, Lakeland, FL, 33813, USA",S Florida Ave,,,"S Florida Ave, Lakeland, Florida, 33813",,,20.0,,,,,,,S,,Florida,Ave,,,,,,,,,S Florida Ave,,,,,,33813,,USA,ENG,0.0,-81.9740205,27.93921375129279,-81.9750205,-81.97302049999999,27.93821375129279,27.94021375129279,
201,"Saint Petersburg, FL","Saint Petersburg, Florida",-82.67926999999997,27.770860000000027,Locality,100.0,T,Florida,FL,Pinellas,,Saint Petersburg,,POINT (-82.67926999999997 27.77086000000003),A,"Saint Petersburg, FL, USA",Saint Petersburg,City,Saint Petersburg,"Saint Petersburg, Florida",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-82.67926999999997,27.770860000000027,-82.75926999999997,-82.59926999999998,27.69086000000003,27.850860000000026,
202,"Tampa, FL","Tampa, Florida",-82.45926999999995,27.946530000000052,Locality,100.0,M,Florida,FL,Hillsborough County,Tampa Metro Area,Tampa,,POINT (-82.45926999999995 27.94653000000005),A,"Tampa, FL, USA",Tampa,City,Tampa,"Tampa, Florida",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-82.45926999999995,27.946530000000052,-82.64626999999994,-82.27226999999995,27.75953000000005,28.133530000000054,
203,"Alpharetta, GA","Alpharetta, Georgia",-84.29454999999996,34.07540000000006,Locality,100.0,M,Georgia,GA,Fulton County,Atlanta Metro Area,Alpharetta,,POINT (-84.29454999999996 34.07540000000006),A,"Alpharetta, GA, USA",Alpharetta,City,Alpharetta,"Alpharetta, Georgia",,,8.52,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-84.29454999999996,34.07540000000006,-84.35654999999996,-84.23254999999996,34.01340000000006,34.137400000000056,
