uuid,f_address,Match_addr,Longitude,Latitude,Addr_type,Score,Status,Region,RegionAbbr,Subregion,MetroArea,City,Nbrhd,geometry,Match_type,LongLabel,ShortLabel,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,District,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo
15,"Chandler, AZ","Chandler, Arizona",-111.84082999999998,33.30338000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Chandler,,POINT (-111.84083 33.30338000000006),A,"Chandler, AZ, USA",Chandler,City,Chandler,"Chandler, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.84082999999998,33.30338000000006,-111.93482999999998,-111.74682999999999,33.20938000000006,33.39738000000006,
16,"SCOTTSDALE, AZ","Scottsdale, Arizona",-111.92068999999998,33.49400000000003,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Scottsdale,,POINT (-111.92069 33.49400000000003),A,"Scottsdale, AZ, USA",Scottsdale,City,Scottsdale,"Scottsdale, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.92068999999998,33.49400000000003,-112.08468999999998,-111.75668999999998,33.33000000000003,33.65800000000003,
17,"PHOENIX, AZ","Phoenix, Arizona",-112.07579999999996,33.44825000000003,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Phoenix,,POINT (-112.0758 33.44825000000003),A,"Phoenix, AZ, USA",Phoenix,City,Phoenix,"Phoenix, Arizona",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-112.07579999999996,33.44825000000003,-112.33279999999996,-111.81879999999995,33.19125000000003,33.70525000000003,
18,"Phoenix, Az","Phoenix, Arizona",-112.07579999999996,33.44825000000003,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Phoenix,,POINT (-112.0758 33.44825000000003),A,"Phoenix, AZ, USA",Phoenix,City,Phoenix,"Phoenix, Arizona",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-112.07579999999996,33.44825000000003,-112.33279999999996,-111.81879999999995,33.19125000000003,33.70525000000003,
19,"Chandler, AZ","Chandler, Arizona",-111.84082999999998,33.30338000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Chandler,,POINT (-111.84083 33.30338000000006),A,"Chandler, AZ, USA",Chandler,City,Chandler,"Chandler, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.84082999999998,33.30338000000006,-111.93482999999998,-111.74682999999999,33.20938000000006,33.39738000000006,
20,"Tempe, AZ","Tempe, Arizona",-111.93723999999997,33.42551000000003,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Tempe,,POINT (-111.93724 33.42551000000003),A,"Tempe, AZ, USA",Tempe,City,Tempe,"Tempe, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.93723999999997,33.42551000000003,-111.99823999999998,-111.87623999999997,33.36451000000003,33.48651000000003,
21,"Gilbert, AZ","Gilbert, Arizona",-111.79025999999999,33.33051000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Gilbert,,POINT (-111.79026 33.33051000000006),A,"Gilbert, AZ, USA",Gilbert,City,Gilbert,"Gilbert, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.79025999999999,33.33051000000006,-111.87425999999999,-111.70625999999999,33.24651000000006,33.414510000000064,
22,"GILBERT, AZ","Gilbert, Arizona",-111.79025999999999,33.33051000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Gilbert,,POINT (-111.79026 33.33051000000006),A,"Gilbert, AZ, USA",Gilbert,City,Gilbert,"Gilbert, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.79025999999999,33.33051000000006,-111.87425999999999,-111.70625999999999,33.24651000000006,33.414510000000064,
23,"Gilbert, AZ","Gilbert, Arizona",-111.79025999999999,33.33051000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Gilbert,,POINT (-111.79026 33.33051000000006),A,"Gilbert, AZ, USA",Gilbert,City,Gilbert,"Gilbert, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.79025999999999,33.33051000000006,-111.87425999999999,-111.70625999999999,33.24651000000006,33.414510000000064,
24,"scottsdale, AZ","Scottsdale, Arizona",-111.92068999999998,33.49400000000003,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Scottsdale,,POINT (-111.92069 33.49400000000003),A,"Scottsdale, AZ, USA",Scottsdale,City,Scottsdale,"Scottsdale, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.92068999999998,33.49400000000003,-112.08468999999998,-111.75668999999998,33.33000000000003,33.65800000000003,
